result,question_id,question,A,B,C,D,answer,correct,model_name
B,0,Which factor will most likely cause a person to develop a fever?,a leg muscle relaxing after exercise,a bacterial population in the bloodstream,several viral particles on the skin,carbohydrates being digested in the stomach,B,True,X
B,1,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,carbon dioxide,food,protection,water,B,True,X
D,2,"When a switch is used in an electrical circuit, the switch can",cause the charge to build.,increase and decrease the voltage.,cause the current to change direction.,stop and start the flow of current.,D,True,X
A,3,Which of the following is an example of an assistive device?,contact lens,motorcycle,raincoat,coffee pot,A,True,X
C,4,"Rocks are classified as igneous, metamorphic, or sedimentary according to",their color,their shape,how they formed,the minerals they contain,C,True,X
C,5,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,has a pleasant flavor.,is inexpensive to produce.,neutralizes digestive acid.,occurs naturally in the body.,C,True,X
A,6,Which two body systems are directly involved in movement?,muscular and skeletal,digestive and muscular,skeletal and respiratory,respiratory and digestive,A,True,X
C,7,Which change in the state of water particles causes the particles to become arranged in a fixed position?,boiling,melting,freezing,evaporating,C,True,X
B,8,Earth's core is primarily composed of which of the following materials?,basalt,iron,magma,quartz,B,True,X
C,9,Which of the following events during meiosis contributes most to the variation within a species?,pairing of chromosomes,creation of haploid gametes,segregation of alleles,separation of chromatids,C,True,X
A,10,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?",plant decomposition,radioactive decay,water erosion,wind erosion,A,True,X
B,12,"In humans, the digestion process begins in","the intestine, with squeezing.","the mouth, with chewing and saliva.","the stomach, with churning and acid.","the esophagus, with pushing towards the stomach.",B,True,X
B,13,Which of these items contains only a solution?,a jar of pickles,a bottle of juice,a bag of peanuts,a can of mixed fruit,B,True,X
A,14,"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?",chemical weathering,mechanical weathering,water erosion,wind erosion,A,True,X
A,15,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?",It would be mostly light brown beetles.,It would be mostly dark green beetles.,It would be mostly carnivorous beetles.,It would be mostly very large beetles.,A,True,X
D,16,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,days.,weeks.,months.,years.,D,True,X
A,17,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,air pollution.,heat pollution.,noise pollution.,light pollution.,A,True,X
B,18,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?",an increased loudness of sound,a reflection of sound,an increased frequency of sound,a refraction of sound,B,True,X
A,19,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,chemical,nuclear,magnetic,electrical,A,True,X
A,20,A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?,conduction,convection,radiation,transformation,C,False,X
B,21,"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?",both red,both white,one red and one white,one white and one pink,B,True,X
B,22,"Scientists use the term ""light year"" to describe",how fast light travels in space.,the distance light travels in one year.,how large the diameters of different stars are.,the time it takes the Sun to move through the galaxy.,B,True,X
D,23,Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?,convergent,subduction,transform,divergent,D,True,X
A,24,Which group of organisms can show significant trait changes in the shortest period of time?,bacteria,birds,fish,reptiles,A,True,X
A,25,Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?,to attract bees for pollination,to create flower arrangements,to protect the tree from disease,to feed migratory birds,A,True,X
A,26,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,tree rings,pollen samples,harvest production,carbon dating,A,True,X
A,27,Which of these would help to prevent infections from occurring in small cuts and scrapes?,apply a cold ice pack,raise the injured area,apply pressure to stop bleeding,"wash the area with warm, soapy water",D,False,X
A,28,Which best describes why winds at the beach change direction between day and night?,because the temperatures over land and over water change,because warm air over land sinks and stays in place over land,because cool air rises and is replaced by warm air from the ocean,because cool air sinks and stays in place over land,A,True,X
B,29,Soil erosion can be best prevented by,removing grass from the steepest slope.,building terraces into the sides of a slope.,heavily watering the vegetation on the slope.,increasing the slope of the land by adding more soil.,B,True,X
A,30,Which of the following properties provides the BEST way to identify a mineral?,hardness,shape,size,temperature,A,True,X
A,31,Which sequence represents the order of development for many plants?,seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows,seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows,seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit,seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,A,True,X
C,32,"When ice cream is left out of a freezer, the ice cream changes from a ___.",solid to a gas,gas to a liquid,solid to a liquid,liquid to a gas,C,True,X
A,33,Which equipment will best separate a mixture of iron filings and black pepper?,magnet,filter paper,triple-beam balance,voltmeter,A,True,X
A,34,Which characteristic is shared by all cells?,They need energy.,They reproduce sexually.,They make their own food.,They move from place to place.,A,True,X
B,35,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?","birds with long, probing beaks","birds with thick, strong beaks","birds with thin, short beaks","birds with large, pouch beaks",B,True,X
B,36,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?",Both have undergone similar mutations.,Both descended from a common ancestor.,Both reacted similarly to environmental pressures.,Both spread out from the same geographical region.,B,True,X
A,37,A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning,cell membrane.,endoplasmic reticulum.,Golgi body.,nuclear envelope.,A,True,X
D,38,Which best describes all unicellular organisms?,Every cell is round.,Every cell can make food.,Every cell can move on its own.,Every cell performs all life functions.,D,True,X
B,41,Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?,by adding carbon,by adding nitrogen,by removing excess water,by removing excess minerals,B,True,X
A,42,"When oxygen combines with hydrogen, which substance is formed?",water,vinegar,hydrochloric acid,hydrogen dioxide,A,True,X
A,43,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?",chemical energy,kinetic energy,light energy,heat energy,A,True,X
B,44,Which of the following is a typical example of a unicellular organism?,earthworm,bacteria,fungi,green algae,B,True,X
D,45,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?",erosion of sediment from a mountain range,mass extinction of marine organisms,formation of an ocean trench,melting of polar ice caps,D,True,X
C,47,In which environment is white fur color an advantage for survival?,desert,grassland,arctic tundra,temperate forest,C,True,X
C,48,Which of these will best separate iron filings from sand?,water,a magnifying glass,a magnet,rubbing alcohol,C,True,X
B,49,Which of these is the chemical symbol for magnesium?,Ma,Mg,Mn,Mu,B,True,X
A,50,Which of the following is most likely to lead to error in an experiment?,bias,repeated trials,peer review,use of a control,A,True,X
A,51,Which best describes transportation technology?,a system that is used to move people and products,an enterprise that changes raw materials into goods,the building and finishing of structures,the conversion of mechanical energy into heat energy,A,True,X
A,53,Which characteristic is affected by interactions with the environment?,weight,eye color,blood type,handedness,A,True,X
C,54,Which is the greatest impact humans have had on the carbon cycle?,clear-cutting forests,manufacturing plastics,burning fossil fuels,growing agricultural crops,C,True,X
D,55,The floating arrow on a compass always points towards the,west.,east.,south.,north.,D,True,X
A,57,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?",Iron is twice as dense as aluminum.,Atoms of aluminum are smaller than atoms of iron.,Using equal masses results in similar heat capacities.,The specific heat of iron is less than that of aluminum.,D,False,X
B,58,"If its food supply in a field decreases, the mouse population in that field will probably",increase.,decrease.,remain the same.,become extinct.,B,True,X
C,59,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,release of carbon into the atmosphere,release of oxygen into the atmosphere,cycling phosphorus into the soil,cycling hydrogen into the soil,C,True,X
A,61,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the",room is totally dark.,light source is ultraviolet.,beam of light does not travel toward the students.,room walls are shielded with insulating material.,C,False,X
A,62,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,the amount of fertilizer added,the height of the fertilized plants,the size of each tomato produced,the number of tomatoes produced,A,True,X
B,63,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,Wheel and axle,Lever,Inclined plane,Screw,B,True,X
B,64,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,iron and water,iron and oxygen,iron and air,iron and acid,B,True,X
B,65,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,reactants.,products.,catalysts.,inhibitors.,B,True,X
D,66,What role does the centromere play in cellular reproduction?,It is the area where microtubules are formed.,It is the area where the nucleus is during cell division.,It is the area of alignment for the chromosomes.,It is the area of attachment for chromatids.,D,True,X
B,67,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will",melt at -47.5°C.,melt at -95°C.,boil at 95°C.,boil at 47.5°C.,B,True,X
