question_id,result
0,B
1,C
2,D 
3,B 
4,Answer: B
5,A
6,A
7,Answer: D
8,A
9,Answer: C
10,Answer: A
11,Answer: C
12,A
13,C
14,Answer: C
15,Answer: B
16,Answer: C
17,Not Sure
18,D 
19,A 
20,A
21,Answer: A
22,Answer: D
23,Answer: D
24,B 
25,A
26,C 
27,B
28,Answer: D
29,A
30,Answer: A
31,
32,Answer: A
33,C
34,Answer: A
35,B 
36,D
37,Answer: A
38,A
39,D
40,A
41,A
42,B
43,C
44,Answer: A
45,C 
46,Answer: A
47,B 
48,Answer: C
49,B 
50,D 
51,Answer: B
52,A
53,B
54,A
55,A
56,Answer: A
57,B
58,B
59,A
60,A 
61,A
62,C 
63,None of the above
64,B
65,C 
66,Answer: D
67,C
68,Answer: A
69,A 
70,D
71,A 
72,Answer: D
73,"3, so the answer is B"
74,A
75,Answer: B
76,Answer: A
77,A
78,Answer: A
79,Answer: C
80,Answer: B
81,A
82,Answer: A
83,Answer: C
84,D
85,Answer: A
86,A
87,A
88,A 
89,C
90,B
91,
92,Answer: A
93,A
94,B
95,C
96,A
97,Answer: C
98,C 
99,C
100,Answer: A
101,B
102,A
103,Answer: C
104,Answer: B
105,B
106,
107,B
108,C
109,Answer: D
110,D 
111,D
112,A
113,B
114,Answer: A
115,C
116,Answer: B
117,D
118,D
119,A 
120,C
121,C 
122,B
123,
124,B
125,
126,A
127,A
128,
129,B 
130,A
131,A 
132,Answer: A
133,B
134,A
135,C
136,D
137,Answer: C
138,A 
139,C
140,C
141,Answer: C
142,B 
143,C
144,A
145,C 
146,Answer: B
147,C 
148,A
149,C
150,A
151,D 
152,A 
153,A
154,A
155,D
156,Answer: A
157,A
158,D 
159,Answer: D
160,A
161,C 
162,Answer: B
163,C
164,C 
165,B
166,A
167,C
168,D 
169,B
170,A
171,Answer: A
172,D
173,A
174,Answer: D
175,Answer: C
176,Answer: A
177,A
178,A
179,A 
180,Answer: B
181,Answer: B
182,C
183,B 
184,Answer: B
185,C 
186,C
187,C 
188,C
189,A
190,D 
191,Answer: B
192,B
193,Answer: B
194,Answer: A
195,B
196,A 
197,Answer: A
198,A 
199,A
200,A
201,Answer: D
202,Answer: C
203,A 
204,Answer: A
205,C 
206,A
207,A
208,A
209,A 
210,C
211,A
212,A 
213,A
214,A 
215,B
216,A
217,B
218,"is prevented from everting by papillary muscles., so the answer is B"
219,D 
220,C
221,B
222,C 
223,B
224,D
225,Answer: B
226,C 
227,Answer: C
228,A 
229,A 
230,A
231,D
232,"lingual branch of the mandibular trigeminal nerve., so the answer is A"
233,C 
234,D
235,Answer: A
236,A
237,C
238,A
239,Answer: D
240,C 
241,B
242,Answer: A
243,A
244,A 
245,A
246,B
247,A
248,"These craters contain the only permanently shadowed regions on Mercury, so the answer is D"
249,Answer: A
250,Answer: C
251,C 
252,A
253,Not Sure
254,C
255,D
256,D 
257,
258,B 
259,C
260,
261,Answer: C
262,D 
263,Answer: B
264,C
265,B 
266,Not Sure
267,A
268,A
269,C
270,D
271,Answer: A
272,C
273,B
274,B
275,C
276,D
277,A 
278,A
279,Answer: C
280,D 
281,Answer: D
282,A 
283,C
284,B
285,A 
286,A 
287,D
288,A
289,A
290,Answer: C
291,D 
292,D
293,C
294,Answer: D
295,A
