question_id,result
0,Answer: D
1,D
2,Answer: D
3,
4,D
5,C
6,Answer: C
7,C
8,B
9,C 
10,C 
11,C 
12,Answer: A
13,C
14,C 
15,C
16,C
17,Answer: C
18,C
19,D
20,A 
21,Answer: D
22,D 
23,D
24,B
25,D 
26,Answer: C
27,Answer: D
28,D
29,A
30,Answer: B
31,B
32,Answer: A
33,C
34,D
35,B
36,D
37,C
38,Answer: C
39,Answer: D
40,
41,C
42,D
43,D 
44,C
45,B
46,B
47,D
48,C
49,B
50,D
51,B
52,B
53,D
54,Answer: D
55,A
56,D 
57,B
58,Answer: C
59,Answer: D
60,Answer: A
61,D 
62,C
63,B
64,D
65,Answer: C
66,D 
67,D 
68,A
69,A 
70,Answer: D
71,Answer: C
72,D
73,B
74,D 
75,B
76,C 
77,Answer: A
78,Answer: D
79,D
80,B
81,D
82,A
83,Answer: C
84,Answer: D
85,D
86,A
87,A
88,Answer: D
89,C 
90,B
91,B 
92,C 
93,"6, so the answer is A"
94,D
95,C
96,B
97,C 
98,B
99,C
100,D 
101,Answer: B
102,D
103,C
104,Answer: B
105,B
106,A 
107,B 
108,B 
109,None of the above
110,D
111,D
112,D 
113,B
114,"The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage, so the answer is C"
115,Answer: C
116,Answer: B
117,Answer: D
118,Answer: D
119,Answer: D
120,Answer: C
121,D 
122,B
123,B 
124,D
125,C 
126,Answer: C
127,D
128,D
129,C
130,C
131,Answer: A
132,B
133,D
134,C
135,
136,D
137,Answer: D
138,D 
139,D 
140,D
141,Answer: D
142,D
143,Answer: C
144,C
145,C 
146,D 
147,C 
148,Answer: A
149,C 
150,D
151,Answer: D
152,Answer: B
153,B
154,B 
155,D 
156,A 
157,C 
158,D
159,D
160,D
161,C
162,B
163,C
164,B
165,Answer: B
166,D 
167,D
168,D
169,B
170,Answer: B
171,Answer: A
172,D 
173,A 
174,D
175,Answer: C
176,A
177,Answer: D
178,Answer: C
179,D 
180,Answer: C
181,B
182,Answer: C
183,D 
184,C
185,C
186,C
187,Answer: C
188,Answer: D
189,Answer: A
190,D
191,B 
192,B 
193,D 
194,D 
195,Answer: C
196,A
197,Answer: C
198,Answer: A
199,Answer: C
200,D 
201,D
202,C
203,B 
204,Answer: D
205,D
206,D
207,C
208,D
209,A
210,C
211,Answer: D
212,Answer: D
213,D 
214,A
215,Answer: D
216,Answer: D
217,C
218,Answer: D
219,D
220,
221,B
222,Answer: C
223,B 
224,D
225,Answer: B
226,C
227,C
228,D 
229,"auditory tube opens., so the answer is A"
230,A
231,D
232,A
233,C 
234,C
235,D
236,D 
237,Answer: C
238,C
239,D
240,C
241,B 
242,Answer: B
243,Answer: D
244,D
245,D
246,Answer: D
247,D 
248,D
249,Answer: D
250,C 
251,C
252,A
253,D 
254,C
255,Answer: D
256,D 
257,Answer: D
258,D
259,C
260,D 
261,Answer: D
262,D
263,B
264,D
265,D
266,Answer: C
267,Answer: D
268,D
269,Answer: C
270,Answer: C
271,A
272,C
273,B 
274,B 
275,D 
276,D
277,A
278,A
279,D
280,D
281,D
282,A 
283,D 
284,B 
285,Answer: A
286,D
287,Answer: D
288,D 
289,D
290,D
291,C
292,D
293,Answer: C
294,D
295,D
296,D
297,Answer: B
298,D
299,C
300,C 
301,Answer: D
302,B
303,B 
304,Answer: C
305,B
306,Answer: D
307,Answer: C
308,C
309,
310,D
311,A
312,A
313,B 
314,Answer: D
315,Answer: C
316,D
317,A 
318,A 
319,A
320,A
321,D 
322,B
323,Answer: C
324,D
325,D
326,B
327,D
328,D
329,Not Sure
330,B
331,D
332,C
333,C
334,C
335,D
336,C 
337,Answer: C
338,Answer: D
339,Answer: C
340,Answer: A
341,Answer: B
342,C
343,Answer: D
344,Answer: B
345,D
346,D
347,D
348,C
349,Answer: D
350,"Orion, so the answer is D"
351,D 
352,C
353,D
354,D 
355,D
356,B 
357,Answer: C
358,D
359,D
360,D
361,D
362,Answer: C
363,D 
364,C
365,Answer: A
366,D
367,C 
368,B
369,D
370,Answer: D
371,Answer: C
372,D 
373,D
374,Answer: C
375,A
376,C 
377,D
378,B 
379,B
380,D
381,B
382,C
383,D
384,A
385,None of the above
386,B
387,D
388,Answer: B
389,D
390,D 
391,D
392,B
393,B
394,Answer: A
395,Answer: B
396,Answer: D
397,C
398,C
399,Answer: D
400,B
401,"Political, Descriptive and Instrumental, so the answer is C"
402,B
403,A
404,C
405,C
406,Answer: A
407,D
408,Answer: D
409,Answer: C
410,A
411,A
412,B 
413,D 
414,C
415,Answer: D
416,Answer: D
417,A
418,D
419,D
420,A 
421,D
422,D
423,B
424,D
425,Answer: C
426,Answer: D
427,D
428,D
429,D 
430,"Damaged relationships, Sullied reputation, Lost opportunities, so the answer is B"
431,"Moral framing, so the answer is B"
432,D
433,C 
434,A
435,B 
436,
437,Answer: A
438,Answer: B
439,Answer: D
440,A
441,A
442,C
443,C
444,A
445,C
446,D 
447,Answer: D
448,A 
449,Answer: D
450,A
451,A
452,A
453,Answer: D
454,Answer: D
455,A 
456,A
457,B
458,D
459,D
460,D
461,Answer: B
462,C
463,Answer: D
464,D
465,Answer: A
466,D 
467,Answer: B
468,Answer: D
469,D 
470,D
471,C
472,Answer: D
473,C
474,D
475,B
476,Answer: B
477,Answer: B
478,A
479,Answer: D
480,D 
481,Answer: D
482,D
483,D 
484,A
485,D
486,B
487,A 
488,Answer: D
489,D
490,Answer: D
491,B
492,D
493,Answer: B
494,A
495,A 
496,B
497,C
498,D 
499,Answer: B
500,B 
501,D
502,C
503,Answer: C
504,C 
505,Answer: C
506,Answer: D
507,D 
508,A
509,A 
510,B
511,D
512,B
513,D 
514,Answer: D
515,Answer: D
516,C
517,B 
518,D
519,Answer: A
520,D
521,B
522,C
523,C
524,B
525,B
526,D
527,Answer: B
528,D
529,C
530,Answer: D
531,D
532,D 
533,C
534,A
535,D
536,D 
537,Answer: C
538,B
539,C
540,
541,D 
542,Answer: D
543,B 
544,Answer: C
545,Answer: D
546,B
547,C
