agent,message,negotiation_id,turn
mturk_agent_1,"Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?",0,0
mturk_agent_2,Hey! I'd like some more firewood to keep my doggo warm. What do you need?,0,0
mturk_agent_1,"I need firewood as well. We have a large group consisting of mostly senior citizens, including my grandma, so we'd like the firewood to keep everyone warm.",0,1
mturk_agent_2,I see. 😮 What are you least interested in?,0,1
mturk_agent_1,We can make do without extra water. Can we trade two waters for an extra firewood package and an extra food package?,0,2
mturk_agent_2,We could do without the water as well. I'm willing to trade you 3 firewood for 3 food and 2 waters,0,2
mturk_agent_1,"We need some firewood too, though! ☹️ Let's try to make a deal that benefits us both! 🙂 Could I have 1 firewood, 3 food, and 3 waters?",0,3
mturk_agent_2,"I meant I would give you my firewood, what would you trade in return?",0,3
mturk_agent_1,"Oh sorry for the confusion. 😮 In that case, thank you for the generosity! 🙂 How about if I have 3 firewood, 1 food, and 1 water?",0,4
mturk_agent_2,I can do that for 3 food and 3 water?,0,4
mturk_agent_1,"I think we're close. Let's shake hands on this: 3 firewood, 1 food for me, and then 2 food and 3 water for you. I'll make sure your food packages have extra doggy treats! 🙂 Is that a deal?",0,5
mturk_agent_2,Submit-Deal,0,5
mturk_agent_1,Accept-Deal,0,6
mturk_agent_2,Hello. How are you?,1,0
mturk_agent_1,I am good. I am pretty excited for the trip this weekend. what about you?,1,0
mturk_agent_2,Very excited. It will be fun.,1,1
mturk_agent_1,"Yes, Hopefully the weather holds up. So I was thinking, i am bringning my two kids along with me, and they will need food, so I was thinking i could take the three foods, and either one of the firewood or water, up to you.",1,1
mturk_agent_2,I would also like a little extra food for my kids. Maybe we can split it somehow?,1,2
mturk_agent_1,"Ok, I am willing to give you one food, in exchange for two firewoods, that would mean you get 3 waters, 1 food and 1 firewood. you get 5 items, while i get 4.",1,2
mturk_agent_2,"If I only get 1 food, than I would like 2 firewood. So you get 2 food, 1 firewood, and 1 water.",1,3
mturk_agent_1,"No i do not need water, as i am camping near a potable stream. I would like 2 firewood. It is only fair that i get two firewood, since you are getting more supplies (5), i think i should be able to choose what 4 i should get.",1,3
mturk_agent_2,"No, if you get 2 food, it's only fair that I get 2 firewood. ",1,4
mturk_agent_1,"Then i will take 3 waters, and 2 food.",1,4
mturk_agent_2,Okay I will take all the firewood and 1 food.,1,5
mturk_agent_1,Submit-Deal,1,5
mturk_agent_2,Accept-Deal,1,6
mturk_agent_2,hello!,10,0
mturk_agent_1,Hello.,10,0
mturk_agent_2,Can i kindly know your preferences please?,10,1
mturk_agent_1,"Well, I'm kind of low on water, so I'd like to get as much of that as I can. I'd like to go hiking and I don't really have enough water for a long trip. What about you?",10,1
mturk_agent_2,Ohh nice.I also have the same issue around here.The thirst for water is growing high than ever due to drought,10,2
mturk_agent_1,"Well, that's a bummer. How are you set for food? While I wouldn't mind a bit more, I'm in pretty good shape there, so I'd be willing to trade it for water. I'd hate to leave without getting a good hike in.",10,2
mturk_agent_2,"Hun,It's a bit of a fair deal,but due to the condition here i will need a bit more of water though foo cannot be overlooked also for survival but still to survive we take chances.So do you mind me giving you a package of food and u trading 2 pakages of water?.",10,3
mturk_agent_1,"Well, I tell you what, I'd be willing to take 2 packages of water and 2 of firewood and leave the rest to you, including all of the food. How does that sound?🙂",10,3
mturk_agent_2,ok nice good deal,10,4
mturk_agent_1,"Well, alright, then, I think we have a deal, nice and easy. It was a pleasure doing business with you.",10,4
mturk_agent_2,Submit-Deal,10,5
mturk_agent_1,Accept-Deal,10,5
mturk_agent_1,"Hi there, good to connect with you. How are you today?",100,0
mturk_agent_2,"I am good, thank you.  What are your preferences? I really need the extra food packages.  We are doing a lot of hiking and mountain biking and there are no grocery stores for at least 50 miles.🙂",100,0
mturk_agent_1,Oh wow that is quite a lot of hiking! I think we will be hanging out a lot overnight and so I am looking for more firewood if possible. My kids can't hike very far and want to do more with smores and marshmellows. ,100,1
mturk_agent_2,"I can work with that.  I am willing to give you all of the firewood.  We are in a hot climate and won't need too much.  Being in a hot climate and with a lot of exercise, I am hoping to take the three water packages. ",100,1
mturk_agent_1,"Thank you for that. I'm happy to give you the food packages as well as we shouldn't need extras. Being around the fire, we are going to be hot as well and dehydrated. I say let's try and split the waters. ",100,2
mturk_agent_2,We are going to be in an area where there is little potable water.  I don't have a water filter either.  The extra water will be very important for our group.  ,100,2
mturk_agent_1,I understand. We will have a big group (about 10 people) so we are trying to have as much water as possible as well. If anyone gets dehydrated it'd be the end of the trip and hard to get everyone back to base. What's the fewest amount of bottles you're willing to accept?,100,3
mturk_agent_2,"😮Two packages is the lowest I would accept.  There is one exception to that.  If you were willing to give up 2 firewood, then I would be willing to take 1 water.  I think I could trade some extra firewood for water at the campsite.",100,3
mturk_agent_1,"I understand. I am not willing to give up any firewood, but I'd be willing to do a trade of 1 food for 1 water. So 3 firewood for us, 1 water for us, and 1 food for us.  ",100,4
